Motivo del viaje;Gastos y duración media de los viajes;Tipo de dato;Periodo;Total
Motivos religiosos o peregrinaciones;Gasto total;Dato base;2023;567,88
Motivos religiosos o peregrinaciones;Gasto total;Tasa de variación anual;2023;216,03
Motivos religiosos o peregrinaciones;Gasto medio por persona;Dato base;2023;1.886
Motivos religiosos o peregrinaciones;Gasto medio por persona;Tasa de variación anual;2023;18,33
Motivos religiosos o peregrinaciones;Gasto medio diario por persona;Dato base;2023;172
Motivos religiosos o peregrinaciones;Gasto medio diario por persona;Tasa de variación anual;2023;6,54
Motivos religiosos o peregrinaciones;Duración media de los viajes;Dato base;2023;10,95
Motivos religiosos o peregrinaciones;Duración media de los viajes;Tasa de variación anual;2023;11,07
Compras, servicios personales;Gasto total;Dato base;2023;95,71
Compras, servicios personales;Gasto total;Tasa de variación anual;2023;25,23
Compras, servicios personales;Gasto medio por persona;Dato base;2023;684
Compras, servicios personales;Gasto medio por persona;Tasa de variación anual;2023;-9,36
Compras, servicios personales;Gasto medio diario por persona;Dato base;2023;133
Compras, servicios personales;Gasto medio diario por persona;Tasa de variación anual;2023;-13,01
Compras, servicios personales;Duración media de los viajes;Dato base;2023;5,15
Compras, servicios personales;Duración media de los viajes;Tasa de variación anual;2023;4,19
Ocio, recreo y vacaciones;Gasto total;Dato base;2023;93.412,44
Ocio, recreo y vacaciones;Gasto total;Tasa de variación anual;2023;24,48
Ocio, recreo y vacaciones;Gasto medio por persona;Dato base;2023;1.266
Ocio, recreo y vacaciones;Gasto medio por persona;Tasa de variación anual;2023;4,84
Ocio, recreo y vacaciones;Gasto medio diario por persona;Dato base;2023;184
Ocio, recreo y vacaciones;Gasto medio diario por persona;Tasa de variación anual;2023;10,13
Ocio, recreo y vacaciones;Duración media de los viajes;Dato base;2023;6,89
Ocio, recreo y vacaciones;Duración media de los viajes;Tasa de variación anual;2023;-4,81
Turismo cultural;Gasto total;Dato base;2023;21.902,64
Turismo cultural;Gasto total;Tasa de variación anual;2023;45,93
Turismo cultural;Gasto medio por persona;Dato base;2023;1.309
Turismo cultural;Gasto medio por persona;Tasa de variación anual;2023;4,58
Turismo cultural;Gasto medio diario por persona;Dato base;2023;208
Turismo cultural;Gasto medio diario por persona;Tasa de variación anual;2023;1,66
Turismo cultural;Duración media de los viajes;Dato base;2023;6,29
Turismo cultural;Duración media de los viajes;Tasa de variación anual;2023;2,88
Práctica deportiva;Gasto total;Dato base;2023;1.551,25
Práctica deportiva;Gasto total;Tasa de variación anual;2023;24,70
Práctica deportiva;Gasto medio por persona;Dato base;2023;1.206
Práctica deportiva;Gasto medio por persona;Tasa de variación anual;2023;-1,45
Práctica deportiva;Gasto medio diario por persona;Dato base;2023;178
Práctica deportiva;Gasto medio diario por persona;Tasa de variación anual;2023;0,89
Práctica deportiva;Duración media de los viajes;Dato base;2023;6,79
Práctica deportiva;Duración media de los viajes;Tasa de variación anual;2023;-2,32
Turismo de sol y playa;Gasto total;Dato base;2023;36.929,09
Turismo de sol y playa;Gasto total;Tasa de variación anual;2023;7,14
Turismo de sol y playa;Gasto medio por persona;Dato base;2023;1.270
Turismo de sol y playa;Gasto medio por persona;Tasa de variación anual;2023;4,14
Turismo de sol y playa;Gasto medio diario por persona;Dato base;2023;166
Turismo de sol y playa;Gasto medio diario por persona;Tasa de variación anual;2023;9,56
Turismo de sol y playa;Duración media de los viajes;Dato base;2023;7,65
Turismo de sol y playa;Duración media de los viajes;Tasa de variación anual;2023;-4,94
Otro tipo de ocio;Gasto total;Dato base;2023;33.029,45
Otro tipo de ocio;Gasto total;Tasa de variación anual;2023;35,81
Otro tipo de ocio;Gasto medio por persona;Dato base;2023;1.238
Otro tipo de ocio;Gasto medio por persona;Tasa de variación anual;2023;6,18
Otro tipo de ocio;Gasto medio diario por persona;Dato base;2023;192
Otro tipo de ocio;Gasto medio diario por persona;Tasa de variación anual;2023;12,07
Otro tipo de ocio;Duración media de los viajes;Dato base;2023;6,44
Otro tipo de ocio;Duración media de los viajes;Tasa de variación anual;2023;-5,26
Otros;Gasto total;Dato base;2023;1.193,20
Otros;Gasto total;Tasa de variación anual;2023;62,16
Otros;Gasto medio por persona;Dato base;2023;898
Otros;Gasto medio por persona;Tasa de variación anual;2023;19,79
Otros;Gasto medio diario por persona;Dato base;2023;150
Otros;Gasto medio diario por persona;Tasa de variación anual;2023;-5,54
Otros;Duración media de los viajes;Dato base;2023;6,01
Otros;Duración media de los viajes;Tasa de variación anual;2023;26,81
